zeit_utc,open,high,low,close,volume
2026-03-23 04:00,23902.00,24763.00,23772.50,24408.25,683625
2026-03-24 04:00,24417.25,24550.00,24134.00,24213.75,544209
2026-03-25 04:00,24420.00,24539.75,24286.50,24367.75,525449
2026-03-26 04:00,24373.50,24421.25,23763.25,23794.25,557306
2026-03-27 04:00,23824.00,23976.00,23232.50,23328.50,559271
2026-03-30 04:00,23189.50,23574.00,23024.50,23139.75,559453
2026-03-31 04:00,23119.50,23975.25,22961.50,23915.00,755160
2026-04-01 04:00,23889.00,24348.25,23880.00,24194.75,579693
2026-04-02 04:00,24180.00,24266.75,23666.00,24218.00,576893
2026-04-06 04:00,24093.50,24452.25,23981.50,24358.50,444473
2026-04-07 04:00,24348.75,24451.50,23941.50,24371.00,575961
2026-04-08 04:00,24514.00,25257.00,24355.00,25074.25,644388
2026-04-09 04:00,25037.75,25269.75,24953.00,25251.50,514186
2026-04-10 04:00,25237.00,25393.00,25193.00,25281.25,430719
2026-04-13 04:00,24980.00,25599.25,24904.50,25543.50,507117
2026-04-14 04:00,25575.25,26003.25,25560.00,25996.75,477724
2026-04-15 04:00,25985.75,26377.50,25933.75,26365.50,521771
2026-04-16 04:00,26350.00,26564.00,26275.50,26487.25,590117
2026-04-17 04:00,26460.00,26884.75,26440.00,26825.50,599136
2026-04-20 04:00,26599.75,26827.75,26535.00,26748.75,502901
2026-04-21 04:00,26776.75,26901.75,26551.75,26634.75,610696
2026-04-22 04:00,26729.50,27136.00,26727.75,27083.00,512026
2026-04-23 04:00,27075.00,27155.75,26681.75,26934.00,644095
2026-04-24 04:00,26992.00,27462.50,26992.00,27435.00,545525
2026-04-27 04:00,27403.25,27542.50,27298.50,27440.50,444514
2026-04-28 04:00,27423.00,27512.00,27009.50,27168.75,603738
2026-04-29 04:00,27197.25,27414.00,27094.00,27325.25,516846
2026-04-30 04:00,27207.00,27622.75,27163.25,27596.00,701348
2026-05-01 04:00,27631.75,27917.00,27536.25,27835.75,509821
2026-05-04 04:00,27890.00,27965.75,27613.00,27776.00,576727
2026-05-05 04:00,27760.00,28247.00,27731.75,28136.00,458058
2026-05-06 04:00,28250.00,28800.00,28243.00,28716.75,637911
2026-05-07 04:00,28662.75,28944.75,28552.00,28682.25,657049
2026-05-08 04:00,28582.00,29386.75,28541.00,29332.50,543817
2026-05-11 04:00,29294.00,29480.00,29225.75,29424.00,558723
2026-05-12 04:00,29399.00,29455.75,28742.00,29170.00,719824
2026-05-13 04:00,29143.75,29565.50,29055.50,29479.25,570739
2026-05-14 04:00,29537.00,29782.00,29448.25,29687.75,611771
2026-05-15 04:00,29690.00,29734.00,29089.75,29231.75,750779
2026-05-18 04:00,29135.00,29419.75,28814.75,29096.00,854443
2026-05-19 04:00,29100.00,29188.50,28663.00,28924.25,717466
2026-05-20 04:00,28929.75,29397.50,28797.25,29390.50,606377
2026-05-21 04:00,29253.00,29554.00,29113.00,29447.25,612220
2026-05-22 04:00,29444.00,29749.00,29436.00,29558.75,495134
2026-05-26 04:00,29676.25,30118.75,29676.25,30073.50,668516
2026-05-27 04:00,30050.00,30379.00,29877.50,30047.25,637375
2026-05-28 04:00,30120.00,30344.50,29763.00,30307.00,564551
2026-05-29 04:00,30328.00,30536.00,30216.50,30405.25,578992
2026-06-01 04:00,30415.50,30693.00,30291.50,30566.25,568793
2026-06-02 04:00,30544.75,30763.25,30317.75,30712.75,525212
2026-06-03 04:00,30741.75,30807.75,30478.25,30633.25,638765
2026-06-04 04:00,30453.00,30603.25,30151.00,30488.25,684303
2026-06-05 04:00,30414.00,30422.00,28781.25,29026.50,1044741
2026-06-08 04:00,28844.50,29743.00,28822.25,29454.75,846024
2026-06-09 04:00,29435.00,29848.25,28227.75,29117.00,1082950
2026-06-10 04:00,29094.75,29250.00,28409.00,28554.00,772662
2026-06-11 04:00,28455.00,29544.25,28265.75,29464.75,738252
2026-06-12 04:00,29456.75,29760.00,29230.00,29662.00,499151
2026-06-15 04:00,29907.00,30612.50,29907.00,30559.25,344999
2026-06-16 04:00,30539.75,30664.50,29956.75,29995.00,215042
2026-06-17 04:00,30006.75,30268.50,29616.00,29687.50,92564
2026-06-18 04:00,29758.50,30285.75,29758.50,30263.35,563315
2026-06-22 04:00,30577.00,30968.00,30337.50,30653.50,644848
2026-06-23 04:00,30662.75,30701.25,29577.25,29666.00,727043
2026-06-24 04:00,29770.00,30157.75,29264.75,29514.25,682714
2026-06-25 04:00,30089.75,30263.75,29295.75,29724.75,657543
2026-06-26 04:00,29742.00,29892.75,29160.50,29368.25,582809
2026-06-29 04:00,29282.50,30069.50,29273.75,30052.75,531640
2026-06-30 04:00,30007.25,30599.75,29934.75,30523.50,482570
2026-07-01 04:00,30505.75,30553.75,30008.50,30094.25,525442
2026-07-02 04:00,30089.75,30320.00,29328.50,29556.00,651643
2026-07-06 04:00,29930.25,30094.00,29683.00,29941.00,547644
2026-07-07 04:00,29960.00,29973.75,29210.00,29391.50,587510
2026-07-08 04:00,29373.75,29558.75,28909.75,29468.50,553586
2026-07-09 04:00,29412.00,29993.50,29395.00,29937.00,472581
2026-07-10 04:00,29937.75,30077.75,29675.00,30032.25,431679
2026-07-13 04:00,29952.00,30041.00,29386.50,29475.75,516287
2026-07-14 04:00,29446.00,29921.75,29303.50,29790.25,472860
2026-07-15 04:00,29805.00,30062.50,29397.00,29693.25,504329
2026-07-16 04:00,29709.00,29797.00,29078.50,29225.75,506282
2026-07-17 04:00,29191.00,29220.00,28408.25,28773.25,635199
2026-07-20 04:00,28747.75,29192.50,28709.75,28778.75,502826
2026-07-21 04:00,28778.25,29364.75,28701.00,29316.00,457614
2026-07-22 04:00,29310.75,29342.25,28952.00,29181.25,456902
2026-07-23 04:00,29100.00,29282.50,28432.50,28620.75,667509
2026-07-24 04:00,28700.25,28736.00,28212.50,28282.25,599439
2026-07-27 04:00,28500.00,28763.25,27939.00,28190.00,596053
2026-07-28 04:00,28210.50,28228.00,27603.50,27922.00,668434
2026-07-29 04:00,27962.00,28178.25,27201.50,27342.00,815515
2026-07-30 04:00,27202.00,28414.50,27202.00,28237.75,737532
2026-07-31 04:00,28317.00,28725.75,28079.75,28404.25,679547
2026-08-03 04:00,28565.00,28964.25,28313.50,28891.75,550089
2026-08-04 04:00,28930.00,29956.50,28831.75,29863.50,643753
2026-08-05 04:00,29777.25,30074.00,29530.75,29615.00,567073
2026-08-06 04:00,29569.50,29686.25,29241.25,29488.25,556323
2026-08-07 04:00,29514.25,29867.75,29453.50,29834.75,531146
2026-08-10 04:00,29851.25,29984.00,29718.75,29737.00,394392
2026-08-11 04:00,29764.50,29886.75,29533.50,29626.00,454357
2026-08-12 04:00,29657.75,30001.75,29624.50,29853.25,412530
2026-08-13 04:00,29825.00,30272.75,29780.50,30188.50,460408
2026-08-14 04:00,30210.75,30283.00,30028.50,30141.75,405685
2026-08-17 04:00,30170.00,30343.00,30054.50,30096.00,404828
2026-08-18 04:00,30077.00,30121.25,29514.00,29586.00,577517
2026-08-19 04:00,29566.50,29757.25,29375.75,29512.75,577168
2026-08-20 04:00,29561.50,29689.75,29202.75,29300.50,559747
2026-08-21 04:00,29327.00,29539.00,29220.00,29387.75,493893
2026-08-24 04:00,29392.25,29480.50,28946.75,29105.75,536026
2026-08-25 04:00,29140.50,29425.75,29017.00,29276.75,487191
2026-08-26 04:00,29288.00,29437.75,29096.00,29289.50,456602
2026-08-27 04:00,29499.50,29708.00,29401.75,29695.75,570995
2026-08-28 04:00,29635.50,29811.50,29436.25,29491.75,583609
2026-08-31 04:00,29540.00,29546.25,29273.50,29513.00,468460
2026-09-01 04:00,29518.25,29571.25,29002.00,29125.50,556412
2026-09-02 04:00,29136.50,29213.00,28927.25,29186.25,442250
2026-09-03 04:00,29177.00,29584.25,29075.00,29524.75,539285
2026-09-04 04:00,29505.00,29704.50,29468.00,29565.25,472983
2026-09-08 04:00,29535.25,29764.75,29424.75,29538.75,613787
2026-09-09 04:00,29526.50,29633.75,29333.00,29448.75,497007
2026-09-10 04:00,29458.50,29508.25,29043.25,29135.25,568263
2026-09-11 04:00,29141.00,29500.25,29040.50,29387.00,563849
2026-09-14 04:00,28997.75,29303.00,28816.25,29152.25,511803
2026-09-15 04:00,29200.00,29200.00,28918.75,28955.00,197428
2026-09-16 04:00,28978.25,29252.25,28763.75,28963.50,167542
2026-09-17 04:00,28967.50,29498.25,28957.75,29446.75,74615
2026-09-18 04:00,29438.75,29665.25,29352.75,29613.68,74615
2026-09-21 04:00,29938.00,30444.25,29904.00,30441.25,201738
